,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
0,ADRO,ACES,ACES,ADHI,ADHI,AALI,AALI,AALI,AALI,AALI,AALI,AALI,AALI,AALI,AALI,AALI,AALI,AALI,AALI
1,AMRT,ADRO,ADRO,ADRO,ADRO,ADHI,ADHI,ADHI,ADHI,ADRO,ADRO,ADRO,ADRO,ADRO,ADHI,ADHI,ADHI,ADHI,ANTM
2,ANTM,AKRA,AKRA,AKRA,AKRA,ADRO,ADRO,ADRO,ADRO,AKRA,AKRA,ANTM,ANTM,AKRA,ANTM,ANTM,ADMG,ANTM,ASGR
3,ASII,ANTM,ANTM,ANTM,ANTM,AKRA,AKRA,AKRA,AKRA,ANTM,ANTM,ASII,ASII,ANTM,ASII,APEX,ANTM,ASII,ASII
4,BBCA,ASII,ASII,ASII,ASII,ANTM,ANTM,ANTM,ASII,ASII,ASII,ASRI,BBCA,ASII,BBCA,APOL,ASII,BBCA,AUTO
5,BBNI,BBCA,BBCA,BBCA,BBCA,ASII,ASII,ASII,ASRI,ASRI,ASRI,BBCA,BBNI,BBCA,BBNI,ASII,BBCA,BBRI,BBCA
6,BBRI,BBNI,BBNI,BBNI,BBNI,ASRI,ASRI,ASRI,BBCA,BBCA,BBCA,BBKP,BBRI,BBNI,BBRI,BBCA,BBRI,BDMN,BBNI
7,BBTN,BBRI,BBRI,BBRI,BBRI,BBCA,BBCA,BBCA,BBNI,BBNI,BBNI,BBNI,BDMN,BBRI,BDMN,BBRI,BDMN,BFIN,BLTA
8,BFIN,BBTN,BBTN,BBTN,BBTN,BBNI,BBNI,BBNI,BBRI,BBRI,BBRI,BBRI,BISI,BDMN,BHIT,BDMN,BLTA,BMRI,BNBR
9,BMRI,BMRI,BMRI,BMRI,BJBR,BBRI,BBRI,BBRI,BDMN,BBTN,BBTN,BBTN,BLTA,BISI,BKSL,BLTA,BMRI,BNBR,BRPT
10,BRPT,BSDE,BRPT,BRPT,BMRI,BBTN,BBTN,BBTN,BKSL,BDMN,BDMN,BDMN,BMRI,BLTA,BLTA,BMRI,BNBR,BNGA,BUMI
11,BUKA,BTPS,BSDE,BSDE,BMTR,BMRI,BMRI,BMRI,BMRI,BHIT,BJBR,BJBR,BNBR,BMRI,BMRI,BNBR,BNGA,BNII,DNKS
12,CPIN,CPIN,BTPS,CPIN,BRPT,BSDE,BMTR,BMTR,BMTR,BKSL,BMRI,BMRI,BRPT,BNGA,BMTR,BNGA,BNII,BRPT,EPMT
13,EMTK,CTRA,CPIN,ELSA,BSDE,BUMI,BSDE,BSDE,BSDE,BMRI,BORN,BNBR,BTEL,BNII,BNBR,BNII,BNLI,BUMI,GGRM
14,ERAA,ERAA,CTRA,ERAA,BUMI,CPIN,CPIN,CPIN,CPIN,BMTR,BUMI,BRAU,BUMI,BRPT,BNGA,BTEL,BUMI,CTRS,GJTL
15,EXCL,EXCL,ERAA,EXCL,EXCL,ELSA,GGRM,CTRA,CTRA,BSDE,CPIN,BSDE,DEWA,BYAN,BNII,BUMI,CMNP,ELTY,HMSP
16,GGRM,GGRM,EXCL,GGRM,GGRM,EXCL,HMSP,EXCL,EXCL,BUMI,DOID,BTEL,ELSA,CPIN,BRPT,CMNP,CTRS,ENRG,IDSR
17,HMSP,HMSP,GGRM,HMSP,HMSP,GGRM,ICBP,GGRM,GGRM,BWPT,ELTY,BUMI,ELTY,CTRA,BTEL,CTRA,ENRG,EPMT,INAF
18,HRUM,ICBP,HMSP,ICBP,ICBP,HMSP,INCO,ICBP,HRUM,CPIN,ENRG,CPIN,ENRG,ELSA,BUMI,CTRS,GGRM,GGRM,INCO
19,ICBP,INCO,ICBP,INCO,INCO,ICBP,INDF,INCO,ICBP,EXCL,EXCL,DOID,GGRM,INCO,CPIN,ENRG,GJTL,GJTL,INDF
20,INCO,INDF,INCO,INDF,INDF,INCO,INTP,INDF,INDF,GGRM,GGRM,ELSA,HEXA,INDF,CPRO,EPMT,INCO,HMSP,INKP
21,INDF,INKP,INDF,INDY,INDY,INDF,JSMR,INTP,INTP,GIAA,GJTL,ELTY,INCO,INDY,CTRA,GGRM,INDF,INCO,INTP
22,INKP,INTP,INKP,INKP,INTP,INTP,KLBF,ITMG,ITMG,HRUM,HRUM,ENRG,INDF,INKP,ELTY,GJTL,INKP,INDF,ISAT
23,INTP,ITMG,INTP,INTP,JSMR,JSMR,LPKR,JSMR,JSMR,ICBP,ICBP,GGRM,INDY,INTP,ENRG,INCO,INTP,INKP,JIHD
24,ITMG,JPFA,ITMG,ITMG,KLBF,KLBF,LPPF,KLBF,KLBF,IMAS,INCO,GJTL,INKP,ISAT,FREN,INDF,ISAT,INTP,KAEF
25,JPFA,JSMR,JPFA,JSMR,LPKR,LPKR,LSIP,LPKR,LPKR,INCO,INDF,INCO,INTP,ITMG,INCO,INKP,JIHD,ISAT,KLBF
26,KLBF,KLBF,JSMR,KLBF,LPPF,LPPF,MNCN,LPPF,LSIP,INDF,INDY,INDF,ISAT,JSMR,INDF,INTP,KIJA,JIHD,LMAS
27,MDKA,MDKA,KLBF,LPPF,MNCN,LSIP,MPPA,LSIP,MAIN,INDY,INTP,INDY,ITMG,KLBF,INKP,ISAT,KLBF,KIJA,MEDC
28,MEDC,MEDC,LPPF,MEDC,MYRX,MNCN,MYRX,MNCN,MLPL,INTP,ITMG,INTP,JSMR,LPKR,ISAT,KIJA,LPBN,KLBF,MPPA
29,MIKA,MIKA,MNCN,MNCN,PGAS,MYRX,PGAS,MPPA,MNCN,ITMG,JSMR,ISAT,KLBF,LSIP,KIJA,KLBF,LSIP,LSIP,NISP
30,MNCN,MNCN,PGAS,PGAS,PTBA,PGAS,PTBA,PGAS,PGAS,JSMR,KIJA,ITMG,LPKR,MEDC,KLBF,LPKR,MEDC,MEDC,PNBN
31,PGAS,PGAS,PTBA,PTBA,PTPP,PPRO,PTPP,PTBA,PTBA,KLBF,KLBF,JSMR,LSIP,MIRA,MEDC,LSIP,MLPL,PGAS,PNIN
32,PTBA,PTBA,PTPP,PTPP,PWON,PTBA,PWON,PTPP,PTPP,LPKR,KRAS,KLBF,MEDC,PGAS,PGAS,MEDC,PGAS,PLAS,PTBA
33,PTPP,PTPP,PWON,PWON,SCMA,PTPP,SCMA,PWON,PWON,LSIP,LPKR,LPKR,MIRA,PNBN,PNLF,PGAS,PLAS,PNBN,RALS
34,SMGR,PWON,SCMA,SCMA,SMGR,PWON,SILO,SCMA,SMGR,MAIN,LSIP,LSIP,PGAS,PTBA,PTBA,PNBN,PNBN,PTBA,RMBA
35,TBIG,SMGR,SMGR,SMGR,SRIL,SCMA,SMGR,SILO,SMRA,MAPI,PGAS,MEDC,PTBA,SGRO,SMCB,PNLF,PNLF,RALS,SMCB
36,TINS,SMRA,SRIL,SRIL,SSMS,SMGR,SMRA,SMGR,SSIA,MNCN,PTBA,PGAS,SGRO,SMCB,SULI,PTBA,PTBA,RMBA,SMGR
37,TKIM,TBIG,TBIG,TKIM,TLKM,SMRA,SRIL,SMRA,TAXI,PGAS,SIMP,PTBA,SMCB,SMGR,TBLA,SMCB,SMCB,SMCB,SMRA
38,TLKM,TKIM,TKIM,TLKM,TPIA,SRIL,SSMS,SSMS,TBIG,PTBA,SMGR,SMCB,SMGR,TBLA,TINS,SULI,SMRA,TINS,TINS
39,TOWR,TLKM,TLKM,TPIA,TRAM,SSMS,TBIG,TBIG,TLKM,SMCB,TINS,SMGR,TINS,TINS,TLKM,TLKM,TINS,TKIM,TKIM
40,TPIA,TOWR,TOWR,UNTR,UNTR,TLKM,TLKM,TLKM,UNTR,SMGR,TLKM,TINS,TLKM,TLKM,TOTL,TOTL,TKIM,TLKM,TLKM
